ID,regular,midtern1,midtern2,final
38,7,67,70,98
37,12,70,70,92
10,15,70,63,55
15,16,67,48,47
32,16,65,100,90
33,17,70,80,100
40,20,88,70,90
31,24,88,30,80
6,25,44,70,44
12,25,70,98,90
16,29,70,75,96
39,33,70,70,80
44,35,67,90,96
11,36,70,72,69
19,40,70,25,60
13,40,35,25,100
28,43,66,70,98
48,45,70,88,59
8,48,88,70,69
27,58,80,94,92
46,59,65,83,98
23,62,99,50,100
24,62,100,66,44
47,62,70,59,44
3,63,40,70,88
14,63,70,87,33
43,65,44,99,59
21,66,94,82,80
25,68,30,44,59
20,71,70,63,70
4,72,50,70,100
1,73,63,65,70
29,74,44,99,83
34,74,70,88,44
9,75,65,77,70
2,77,82,70,77
49,79,70,65,96
35,81,70,65,59
22,82,70,40,90
30,82,67,100,99
45,83,88,35,92
7,87,67,67,10
42,90,66,20,44
17,91,88,15,90
36,93,35,70,96
5,98,66,35,100
18,99,70,36,100
41,99,70,33,100
26,100,100,67,96
