ID,regular,midtern1,midtern2,final
1,73,63,65,70
2,77,82,70,77
3,63,40,70,88
4,72,50,70,100
5,98,66,35,100
6,25,44,70,44
7,87,67,67,10
8,48,88,70,69
9,75,65,77,70
10,15,70,63,55
11,36,70,72,69
12,25,70,98,90
13,40,35,25,100
14,63,70,87,33
15,16,67,48,47
16,29,70,75,96
17,91,88,15,90
18,99,70,36,100
19,40,70,25,60
20,71,70,63,70
21,66,94,82,80
22,82,70,40,90
23,62,99,50,100
24,62,100,66,44
25,68,30,44,59
26,100,100,67,96
27,58,80,94,92
28,43,66,70,98
29,74,44,99,83
30,82,67,100,99
31,24,88,30,80
32,16,65,100,90
33,17,70,80,100
34,74,70,88,44
35,81,70,65,59
36,93,35,70,96
37,12,70,70,92
38,7,67,70,98
39,33,70,70,80
40,20,88,70,90
41,99,70,33,100
42,90,66,20,44
43,65,44,99,59
44,35,67,90,96
45,83,88,35,92
46,59,65,83,98
47,62,70,59,44
48,45,70,88,59
49,79,70,65,96
